Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-09 08:13:39Z : PB = 190308352 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-09 08:13:39Z : PB = 189800448 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-10-09 08:13:39Z : PB = 191070208 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\user\Documents\大學三年級\111-1-Windows-Programming\109590004\debug.log
2022-10-09 08:13:43Z : PB = 210345984 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-10-09 08:13:43Z : PB = 212492288 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-10-09 08:13:43Z : PB = 212623360 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-09 08:13:43Z : PB = 212754432 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-10-09 08:13:43Z : PB = 212983808 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-10-09 08:13:43Z : PB = 213721088 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-10-09 08:13:43Z : PB = 213860352 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-10-09 08:13:43Z : PB = 214069248 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 08:13:43Z : PB = 214220800 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 08:13:43Z : PB = 216064000 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 08:13:43Z : PB = 216076288 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 08:13:43Z : PB = 216088576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 08:13:43Z : PB = 220610560 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 08:13:43Z : PB = 220610560 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 08:13:43Z : PB = 220631040 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 08:13:43Z : PB = 220631040 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 08:13:43Z : PB = 220631040 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 08:13:43Z : PB = 220631040 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 08:13:43Z : PB = 220631040 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 08:13:43Z : PB = 220631040 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 08:13:43Z : PB = 225607680 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
