Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-05 16:12:44Z : PB = 447541248 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-12-05 16:12:44Z : PB = 447582208 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-12-05 16:12:44Z : PB = 448020480 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Documents\AA\111-1-Windows-Programming\Drawing\debug.log
2022-12-05 16:16:00Z : PB = 448712704 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-12-05 16:16:00Z : PB = 450064384 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-12-05 16:16:00Z : PB = 450064384 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-12-05 16:16:00Z : PB = 450064384 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 6])
2022-12-05 16:16:00Z : PB = 450093056 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 6], ignoreCache=True, settingsPath=<null>)
2022-12-05 16:16:00Z : PB = 450166784 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-12-05 16:16:00Z : PB = 450170880 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-12-05 16:16:00Z : PB = 450174976 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:00Z : PB = 450199552 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:00Z : PB = 450449408 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:00Z : PB = 450449408 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:00Z : PB = 450469888 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:01Z : PB = 454094848 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:01Z : PB = 454094848 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:01Z : PB = 454119424 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:01Z : PB = 454119424 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:01Z : PB = 454119424 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:01Z : PB = 454144000 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:01Z : PB = 454144000 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:01Z : PB = 454144000 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:01Z : PB = 457596928 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:01Z : PB = 457596928 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:01Z : PB = 457596928 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:01Z : PB = 457596928 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:01Z : PB = 457596928 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:01Z : PB = 457723904 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:01Z : PB = 457723904 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:01Z : PB = 457723904 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:01Z : PB = 462716928 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:01Z : PB = 462716928 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:01Z : PB = 462716928 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:01Z : PB = 462716928 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:01Z : PB = 462716928 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:01Z : PB = 462725120 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:01Z : PB = 462725120 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:01Z : PB = 462725120 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:01Z : PB = 466157568 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:01Z : PB = 466157568 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:01Z : PB = 466157568 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
