Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-10 16:39:33Z : PB = 318283776 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-10 16:39:33Z : PB = 318320640 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-10-10 16:39:33Z : PB = 320073728 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Documents\大學三年級\111-1-Windows-Programming\TA code\PresentationModelExample\debug.log
2022-10-10 16:39:37Z : PB = 323788800 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-10-10 16:39:37Z : PB = 325423104 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-10 16:39:37Z : PB = 325423104 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-10-10 16:39:37Z : PB = 325423104 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-10-10 16:39:37Z : PB = 325443584 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-10-10 16:39:37Z : PB = 325521408 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-10-10 16:39:37Z : PB = 325521408 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-10-10 16:39:37Z : PB = 325541888 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-10 16:39:37Z : PB = 325558272 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-10 16:39:37Z : PB = 326500352 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-10 16:39:37Z : PB = 326500352 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-10 16:39:37Z : PB = 326520832 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-10 16:39:38Z : PB = 329379840 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-10 16:39:38Z : PB = 329379840 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
