Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-09 10:21:06Z : PB = 365338624 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-09 10:21:06Z : PB = 365379584 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-10-09 10:21:06Z : PB = 365789184 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\user\Documents\大學三年級\111-1-Windows-Programming\TA code\debug.log
2022-10-09 10:21:10Z : PB = 367173632 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-10-09 10:21:10Z : PB = 367587328 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-10-09 10:21:10Z : PB = 367935488 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-09 10:21:10Z : PB = 367939584 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-10-09 10:21:10Z : PB = 367964160 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-10-09 10:21:10Z : PB = 368103424 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-10-09 10:21:10Z : PB = 367480832 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-10-09 10:21:10Z : PB = 367493120 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:10Z : PB = 367509504 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
